genes_29_62_95_20_23_9_14_88_100_8_17_22_67_8_40_0_15_8_33_44_32_57_26_30_80_36_94_54_20_87_67_28_75_100_83_50_87_17_40_5,0,0.0,0.0,29,62,95,20,23,9,14,88,100,8,17,22,67,8,40,0,15,8,33,44,32,57,26,30,80,36,94,54,20,87,67,28,75,100,83,50,87,17,40,5
genes_32_64_26_85_24_82_32_44_98_69_72_25_38_36_49_98_100_18_57_50_62_11_100_33_100_46_90_28_50_57_81_73_81_77_83_81_95_93_7_45,1,0.04017669307891762,69.5690637772999,32,64,26,85,24,82,32,44,98,69,72,25,38,36,49,98,100,18,57,50,62,11,100,33,100,46,90,28,50,57,81,73,81,77,83,81,95,93,7,45
genes_63_29_31_85_83_90_32_42_0_10_17_18_8_71_71_100_71_52_63_36_32_55_93_37_69_40_100_54_54_52_33_35_86_9_13_2_87_17_16_25,2,0.05701087796496363,71.9865711765007,63,29,31,85,83,90,32,42,0,10,17,18,8,71,71,100,71,52,63,36,32,55,93,37,69,40,100,54,54,52,33,35,86,9,13,2,87,17,16,25
genes_55_29_68_79_54_49_28_41_23_17_21_26_15_78_22_48_30_21_61_53_21_40_36_35_62_49_55_22_86_83_32_8_1_2_78_3_60_89_13_36,4,0.06142352076443755,81.44600900583993,55,29,68,79,54,49,28,41,23,17,21,26,15,78,22,48,30,21,61,53,21,40,36,35,62,49,55,22,86,83,32,8,1,2,78,3,60,89,13,36
genes_49_96_99_87_96_0_28_17_100_13_24_0_4_90_18_73_7_52_87_63_23_57_30_26_29_49_94_80_21_49_13_32_58_95_83_2_51_17_2_25,1,0.07271605554242651,95.145306106775,49,96,99,87,96,0,28,17,100,13,24,0,4,90,18,73,7,52,87,63,23,57,30,26,29,49,94,80,21,49,13,32,58,95,83,2,51,17,2,25
genes_59_29_47_28_88_32_32_17_67_17_21_17_62_74_83_15_18_21_2_34_40_58_36_39_22_1_55_22_51_100_36_20_1_96_78_3_92_82_59_4,3,0.0710420464780576,100.89593141832677,59,29,47,28,88,32,32,17,67,17,21,17,62,74,83,15,18,21,2,34,40,58,36,39,22,1,55,22,51,100,36,20,1,96,78,3,92,82,59,4
genes_73_30_47_84_33_36_32_0_0_57_95_22_56_88_72_69_30_44_64_44_43_7_26_35_68_49_90_85_54_45_36_35_86_25_33_0_95_82_51_32,5,0.06935960919827763,103.20491728678431,73,30,47,84,33,36,32,0,0,57,95,22,56,88,72,69,30,44,64,44,43,7,26,35,68,49,90,85,54,45,36,35,86,25,33,0,95,82,51,32
genes_76_94_46_89_72_82_33_0_14_57_81_38_67_47_72_100_22_44_91_48_30_12_33_64_69_50_42_24_52_56_79_75_15_9_35_55_91_82_51_33,7,0.08415356556415887,115.71805036503984,76,94,46,89,72,82,33,0,14,57,81,38,67,47,72,100,22,44,91,48,30,12,33,64,69,50,42,24,52,56,79,75,15,9,35,55,91,82,51,33
genes_90_63_13_9_83_43_98_100_77_69_95_49_66_3_11_34_95_15_78_100_43_11_4_35_100_49_90_70_75_91_25_23_56_17_83_82_95_93_45_95,4,0.09074736369631309,121.89472095143623,90,63,13,9,83,43,98,100,77,69,95,49,66,3,11,34,95,15,78,100,43,11,4,35,100,49,90,70,75,91,25,23,56,17,83,82,95,93,45,95
genes_29_61_79_85_23_89_100_86_62_60_72_46_38_17_99_8_100_41_61_39_5_47_24_56_73_30_88_54_91_58_11_73_81_27_61_84_99_51_54_25,5,0.0878729051367538,122.63769317740991,29,61,79,85,23,89,100,86,62,60,72,46,38,17,99,8,100,41,61,39,5,47,24,56,73,30,88,54,91,58,11,73,81,27,61,84,99,51,54,25
