genes_73_2_84_28_76_93_62_82_37_87_81_54_66_68_75_33_18_3_17_46_56_41_81_29_2_41_89_47_74_12_18_53_6_78_81_19_6_37_82_24,2,0.073496750208362,68.24018803845554,73,2,84,28,76,93,62,82,37,87,81,54,66,68,75,33,18,3,17,46,56,41,81,29,2,41,89,47,74,12,18,53,6,78,81,19,6,37,82,24
genes_62_49_76_2_82_58_89_21_96_57_36_18_47_60_72_46_22_51_43_60_92_34_24_97_76_21_94_52_69_88_42_32_50_80_44_68_69_4_5_21,3,0.07658525475946447,68.4471973553107,62,49,76,2,82,58,89,21,96,57,36,18,47,60,72,46,22,51,43,60,92,34,24,97,76,21,94,52,69,88,42,32,50,80,44,68,69,4,5,21
genes_11_71_62_76_64_88_21_58_6_57_48_15_70_26_32_1_46_51_56_39_73_45_74_32_0_22_68_46_59_23_78_50_100_22_68_23_58_6_33_50,2,0.07276727226877747,76.14326168618231,11,71,62,76,64,88,21,58,6,57,48,15,70,26,32,1,46,51,56,39,73,45,74,32,0,22,68,46,59,23,78,50,100,22,68,23,58,6,33,50
genes_61_72_64_28_82_50_100_22_62_56_25_34_39_53_88_33_55_51_13_49_65_33_79_100_39_56_54_56_36_84_53_67_21_100_88_1_53_77_52_26,2,0.0818752427274464,76.43736480220117,61,72,64,28,82,50,100,22,62,56,25,34,39,53,88,33,55,51,13,49,65,33,79,100,39,56,54,56,36,84,53,67,21,100,88,1,53,77,52,26
genes_62_81_79_61_22_75_41_45_6_63_24_54_41_48_17_35_22_40_83_20_54_80_60_21_40_35_76_37_50_52_15_72_43_90_49_1_63_32_50_94,2,0.0674731518647872,78.61255434083566,62,81,79,61,22,75,41,45,6,63,24,54,41,48,17,35,22,40,83,20,54,80,60,21,40,35,76,37,50,52,15,72,43,90,49,1,63,32,50,94
genes_67_69_28_85_26_31_100_21_2_21_27_92_41_58_76_32_24_55_83_39_10_86_34_32_100_67_76_6_54_56_26_47_99_55_81_1_69_2_77_9,4,0.06823587603983962,79.56854891858887,67,69,28,85,26,31,100,21,2,21,27,92,41,58,76,32,24,55,83,39,10,86,34,32,100,67,76,6,54,56,26,47,99,55,81,1,69,2,77,9
genes_57_13_61_34_45_48_95_93_1_26_26_18_100_17_49_32_21_37_46_36_53_73_91_90_86_21_73_37_75_52_13_22_44_40_68_23_55_25_10_17,7,0.07862354365131727,82.29162071166535,57,13,61,34,45,48,95,93,1,26,26,18,100,17,49,32,21,37,46,36,53,73,91,90,86,21,73,37,75,52,13,22,44,40,68,23,55,25,10,17
genes_73_28_31_11_7_64_100_61_60_18_86_54_67_30_69_27_18_51_70_27_38_73_78_39_14_14_34_93_71_45_11_57_81_83_9_1_58_14_37_28,7,0.07717172351009208,84.22839371057704,73,28,31,11,7,64,100,61,60,18,86,54,67,30,69,27,18,51,70,27,38,73,78,39,14,14,34,93,71,45,11,57,81,83,9,1,58,14,37,28
genes_64_69_77_34_24_75_41_69_38_21_26_18_100_48_17_32_16_33_83_37_22_43_52_21_37_35_76_53_98_43_10_72_17_94_49_1_66_28_86_89,7,0.07893047211809796,85.168000783915,64,69,77,34,24,75,41,69,38,21,26,18,100,48,17,32,16,33,83,37,22,43,52,21,37,35,76,53,98,43,10,72,17,94,49,1,66,28,86,89
genes_47_63_66_82_11_52_100_73_39_63_27_52_70_26_76_32_21_38_23_40_49_88_25_34_15_78_84_14_74_52_5_46_25_52_48_0_58_3_4_41,6,0.07993882160593165,85.42742587301245,47,63,66,82,11,52,100,73,39,63,27,52,70,26,76,32,21,38,23,40,49,88,25,34,15,78,84,14,74,52,5,46,25,52,48,0,58,3,4,41
genes_57_17_64_85_26_89_26_31_16_21_32_12_51_10_76_61_90_96_23_29_16_37_2_30_14_62_73_94_54_43_29_17_0_85_46_56_62_32_33_71,2,0.07106329791488326,87.68973504587498,57,17,64,85,26,89,26,31,16,21,32,12,51,10,76,61,90,96,23,29,16,37,2,30,14,62,73,94,54,43,29,17,0,85,46,56,62,32,33,71
