genes_56_36_50_71_97_22_38_15_33_62_75_34_0_82_68_27_20_0_79_7_38_58_100_11_29_25_18_1_2_32_43_73_25_66_68_95_43_50_98_88,0,0.0,0.0,56,36,50,71,97,22,38,15,33,62,75,34,0,82,68,27,20,0,79,7,38,58,100,11,29,25,18,1,2,32,43,73,25,66,68,95,43,50,98,88
genes_33_39_26_62_100_68_62_8_90_89_73_97_5_13_21_0_24_11_4_37_68_1_71_48_30_1_0_79_94_79_49_68_62_59_74_74_99_26_62_89,0,0.0,0.0,33,39,26,62,100,68,62,8,90,89,73,97,5,13,21,0,24,11,4,37,68,1,71,48,30,1,0,79,94,79,49,68,62,59,74,74,99,26,62,89
genes_64_42_22_15_94_27_37_6_30_22_32_23_94_83_27_0_70_5_81_23_28_58_88_69_33_4_2_86_33_50_37_69_17_67_9_67_96_67_56_37,3,0.047274535201948985,87.92263930716109,64,42,22,15,94,27,37,6,30,22,32,23,94,83,27,0,70,5,81,23,28,58,88,69,33,4,2,86,33,50,37,69,17,67,9,67,96,67,56,37
genes_67_96_36_19_54_22_80_71_94_62_80_97_6_94_21_70_66_0_82_28_100_30_100_11_28_25_56_1_2_32_7_18_56_63_97_62_37_50_40_25,3,0.058528225837461055,122.32916042079033,67,96,36,19,54,22,80,71,94,62,80,97,6,94,21,70,66,0,82,28,100,30,100,11,28,25,56,1,2,32,7,18,56,63,97,62,37,50,40,25
genes_25_40_35_70_90_80_67_33_32_98_58_92_2_52_27_40_90_6_79_20_70_11_87_69_81_57_61_34_57_50_42_45_65_19_100_74_59_77_40_15,3,0.07253105085523896,152.33173668907523,25,40,35,70,90,80,67,33,32,98,58,92,2,52,27,40,90,6,79,20,70,11,87,69,81,57,61,34,57,50,42,45,65,19,100,74,59,77,40,15
genes_69_29_26_8_90_27_56_30_89_87_83_27_3_30_15_32_87_89_72_75_82_39_80_73_28_39_20_11_55_34_62_32_14_13_99_28_97_95_59_93,6,0.07637151029140572,165.50107048452472,69,29,26,8,90,27,56,30,89,87,83,27,3,30,15,32,87,89,72,75,82,39,80,73,28,39,20,11,55,34,62,32,14,13,99,28,97,95,59,93
genes_41_99_7_9_50_8_85_45_28_21_53_58_61_13_17_26_6_0_81_33_15_1_0_78_31_36_18_4_51_33_40_41_84_17_68_29_42_71_98_94,5,0.06699660025752466,183.93362871485456,41,99,7,9,50,8,85,45,28,21,53,58,61,13,17,26,6,0,81,33,15,1,0,78,31,36,18,4,51,33,40,41,84,17,68,29,42,71,98,94
genes_42_26_85_57_90_3_85_6_2_20_53_11_40_32_66_49_3_89_41_21_60_7_59_72_30_100_88_100_95_23_60_79_46_19_97_18_6_62_34_92,6,0.08623334770942671,239.40426055387363,42,26,85,57,90,3,85,6,2,20,53,11,40,32,66,49,3,89,41,21,60,7,59,72,30,100,88,100,95,23,60,79,46,19,97,18,6,62,34,92
genes_35_41_65_81_82_0_95_17_3_56_53_87_0_29_56_37_94_99_79_37_13_100_15_62_78_78_3_12_47_55_35_36_22_62_99_90_11_65_61_38,9,0.07758484487574432,257.7083478009223,35,41,65,81,82,0,95,17,3,56,53,87,0,29,56,37,94,99,79,37,13,100,15,62,78,78,3,12,47,55,35,36,22,62,99,90,11,65,61,38
genes_4_96_36_71_44_23_17_6_68_33_53_97_0_94_41_7_66_8_78_48_28_59_23_32_24_82_60_84_92_71_37_82_56_63_65_57_37_17_40_23,10,0.08172676889892533,268.0281248644652,4,96,36,71,44,23,17,6,68,33,53,97,0,94,41,7,66,8,78,48,28,59,23,32,24,82,60,84,92,71,37,82,56,63,65,57,37,17,40,23
genes_50_29_55_57_95_11_92_18_2_34_40_11_0_84_56_62_22_66_39_61_34_15_23_57_34_17_56_31_50_59_43_15_35_40_12_62_7_77_75_42,3,0.1070031065679189,268.9289986530659,50,29,55,57,95,11,92,18,2,34,40,11,0,84,56,62,22,66,39,61,34,15,23,57,34,17,56,31,50,59,43,15,35,40,12,62,7,77,75,42
genes_69_97_26_79_43_69_59_23_7_99_32_64_0_29_75_0_89_7_37_43_68_44_59_74_77_78_99_60_51_43_48_65_34_40_45_60_43_62_25_4,8,0.0876993512883752,273.0205321926257,69,97,26,79,43,69,59,23,7,99,32,64,0,29,75,0,89,7,37,43,68,44,59,74,77,78,99,60,51,43,48,65,34,40,45,60,43,62,25,4
genes_69_41_66_20_90_27_77_10_30_42_40_24_4_86_82_32_95_6_98_42_73_96_81_73_78_92_18_34_59_47_45_73_40_69_4_27_65_12_62_100,1,0.11516370115768232,279.8725691842137,69,41,66,20,90,27,77,10,30,42,40,24,4,86,82,32,95,6,98,42,73,96,81,73,78,92,18,34,59,47,45,73,40,69,4,27,65,12,62,100
genes_41_39_9_41_47_68_62_21_67_36_53_59_0_59_76_29_25_93_75_34_36_6_69_72_30_100_88_0_51_71_22_74_53_31_97_93_100_75_76_92,8,0.09199057432579943,285.7942590380078,41,39,9,41,47,68,62,21,67,36,53,59,0,59,76,29,25,93,75,34,36,6,69,72,30,100,88,0,51,71,22,74,53,31,97,93,100,75,76,92
genes_22_45_61_70_47_4_71_20_28_89_77_87_7_11_17_80_93_10_39_42_21_1_0_74_28_84_20_23_95_47_46_86_45_22_68_27_59_18_69_55,10,0.09377310115547728,288.5192795502391,22,45,61,70,47,4,71,20,28,89,77,87,7,11,17,80,93,10,39,42,21,1,0,74,28,84,20,23,95,47,46,86,45,22,68,27,59,18,69,55
genes_58_42_42_73_93_2_36_45_30_27_87_97_11_91_74_27_70_8_81_18_66_19_100_38_77_67_0_42_58_34_66_68_86_80_28_62_58_17_98_96,3,0.0838121523474532,290.6380001988468,58,42,42,73,93,2,36,45,30,27,87,97,11,91,74,27,70,8,81,18,66,19,100,38,77,67,0,42,58,34,66,68,86,80,28,62,58,17,98,96
genes_49_31_24_76_44_68_25_10_89_92_88_27_6_84_41_48_88_0_57_37_28_43_10_71_87_100_22_11_1_33_96_13_47_63_0_67_20_17_100_15,5,0.08460687771101674,293.7047390700519,49,31,24,76,44,68,25,10,89,92,88,27,6,84,41,48,88,0,57,37,28,43,10,71,87,100,22,11,1,33,96,13,47,63,0,67,20,17,100,15
genes_18_100_61_89_97_4_85_10_93_55_76_78_16_100_96_32_5_9_37_37_60_7_59_9_30_100_84_61_46_55_47_36_48_58_64_28_83_3_36_92,3,0.08451480768704234,293.7201818680262,18,100,61,89,97,4,85,10,93,55,76,78,16,100,96,32,5,9,37,37,60,7,59,9,30,100,84,61,46,55,47,36,48,58,64,28,83,3,36,92
genes_72_26_26_9_32_75_38_19_85_47_65_58_6_32_68_38_89_0_37_37_95_6_80_55_29_97_18_19_51_53_35_41_35_12_68_29_11_87_95_67,6,0.09223097279075192,296.2223711652618,72,26,26,9,32,75,38,19,85,47,65,58,6,32,68,38,89,0,37,37,95,6,80,55,29,97,18,19,51,53,35,41,35,12,68,29,11,87,95,67
genes_63_32_61_76_13_34_85_30_2_71_99_87_6_32_17_31_6_89_98_42_60_45_59_10_34_92_57_93_59_47_47_79_51_19_97_52_65_88_14_94,7,0.08726425094510228,297.1508718242168,63,32,61,76,13,34,85,30,2,71,99,87,6,32,17,31,6,89,98,42,60,45,59,10,34,92,57,93,59,47,47,79,51,19,97,52,65,88,14,94
genes_25_25_28_67_44_23_62_19_50_88_54_34_16_27_67_46_70_90_15_30_28_42_27_69_39_42_22_58_95_92_74_87_13_57_3_82_98_12_66_43,5,0.09223947885487879,297.5081862872912,25,25,28,67,44,23,62,19,50,88,54,34,16,27,67,46,70,90,15,30,28,42,27,69,39,42,22,58,95,92,74,87,13,57,3,82,98,12,66,43
genes_51_37_42_70_93_68_67_10_35_23_54_17_20_84_6_27_70_0_50_16_66_10_88_100_32_65_0_20_100_56_62_68_56_80_7_61_99_18_64_3,2,0.08783110156745785,298.9366544422903,51,37,42,70,93,68,67,10,35,23,54,17,20,84,6,27,70,0,50,16,66,10,88,100,32,65,0,20,100,56,62,68,56,80,7,61,99,18,64,3
genes_69_41_65_67_90_71_74_10_32_51_32_61_11_28_82_43_95_89_83_42_74_59_61_73_41_99_64_34_31_33_58_57_55_69_20_93_65_79_42_62,6,0.0912613847141104,300.20156490877054,69,41,65,67,90,71,74,10,32,51,32,61,11,28,82,43,95,89,83,42,74,59,61,73,41,99,64,34,31,33,58,57,55,69,20,93,65,79,42,62
genes_69_29_82_62_82_0_56_11_89_87_83_76_3_88_22_0_27_89_77_37_68_1_80_80_41_100_0_30_57_58_60_36_14_21_97_28_97_75_97_93,6,0.09542667980702517,302.10786390801735,69,29,82,62,82,0,56,11,89,87,83,76,3,88,22,0,27,89,77,37,68,1,80,80,41,100,0,30,57,58,60,36,14,21,97,28,97,75,97,93
genes_49_97_55_12_44_9_62_26_33_83_78_87_0_30_56_48_65_7_79_31_13_69_88_38_65_100_62_12_100_45_35_76_8_9_72_67_11_79_38_19,6,0.09084016432915896,306.0580530193916,49,97,55,12,44,9,62,26,33,83,78,87,0,30,56,48,65,7,79,31,13,69,88,38,65,100,62,12,100,45,35,76,8,9,72,67,11,79,38,19
genes_49_26_9_67_39_97_62_38_68_86_88_32_4_30_18_36_90_85_74_30_14_69_27_69_24_100_62_19_97_33_74_87_13_58_13_67_98_79_37_92,9,0.09558981673770013,311.23566319808697,49,26,9,67,39,97,62,38,68,86,88,32,4,30,18,36,90,85,74,30,14,69,27,69,24,100,62,19,97,33,74,87,13,58,13,67,98,79,37,92
genes_64_96_4_15_53_2_35_45_97_87_45_97_0_94_74_98_32_4_85_23_93_48_61_69_77_78_48_40_58_52_56_32_86_4_75_62_58_95_40_91,4,0.07983443187409416,312.9502905421306,64,96,4,15,53,2,35,45,97,87,45,97,0,94,74,98,32,4,85,23,93,48,61,69,77,78,48,40,58,52,56,32,86,4,75,62,58,95,40,91
genes_69_36_79_15_0_27_40_30_33_78_74_97_0_30_15_96_100_9_70_18_43_48_80_69_64_76_22_11_41_48_40_39_17_57_72_48_96_12_40_11,6,0.09673547655665769,315.51700961639546,69,36,79,15,0,27,40,30,33,78,74,97,0,30,15,96,100,9,70,18,43,48,80,69,64,76,22,11,41,48,40,39,17,57,72,48,96,12,40,11
genes_74_32_21_76_50_5_84_79_92_71_95_68_4_88_39_36_92_2_87_18_68_45_90_74_34_92_57_98_59_47_45_36_58_19_1_79_65_62_75_93,3,0.10011988824062455,317.2929767613322,74,32,21,76,50,5,84,79,92,71,95,68,4,88,39,36,92,2,87,18,68,45,90,74,34,92,57,98,59,47,45,36,58,19,1,79,65,62,75,93
genes_69_99_69_81_32_11_83_9_93_27_89_33_12_25_83_97_99_51_72_41_14_14_78_95_34_70_83_22_60_30_51_67_45_61_70_50_17_17_97_3,9,0.09518689608852088,317.4013418777811,69,99,69,81,32,11,83,9,93,27,89,33,12,25,83,97,99,51,72,41,14,14,78,95,34,70,83,22,60,30,51,67,45,61,70,50,17,17,97,3
genes_20_37_14_81_32_11_83_19_43_87_76_24_12_23_22_35_99_7_85_29_68_6_91_92_36_70_85_22_98_89_51_72_51_64_69_50_17_95_78_43,4,0.08746398919548273,318.7441676394649,20,37,14,81,32,11,83,19,43,87,76,24,12,23,22,35,99,7,85,29,68,6,91,92,36,70,85,22,98,89,51,72,51,64,69,50,17,95,78,43
genes_50_100_36_81_94_11_80_6_51_31_62_57_2_15_84_70_66_89_15_42_100_30_86_74_36_82_56_31_26_91_49_18_24_22_99_57_42_100_97_96,6,0.09328855455290286,323.40334317318144,50,100,36,81,94,11,80,6,51,31,62,57,2,15,84,70,66,89,15,42,100,30,86,74,36,82,56,31,26,91,49,18,24,22,99,57,42,100,97,96
genes_30_26_26_20_100_89_77_31_33_42_53_97_0_13_21_0_27_11_98_37_97_47_0_10_26_1_99_0_59_47_49_73_40_64_68_74_90_75_62_100,3,0.10173593003276964,325.73440441131225,30,26,26,20,100,89,77,31,33,42,53,97,0,13,21,0,27,11,98,37,97,47,0,10,26,1,99,0,59,47,49,73,40,64,68,74,90,75,62,100
genes_69_36_26_97_100_68_62_20_67_79_53_92_16_32_39_2_27_89_75_34_68_48_71_68_73_99_88_84_55_34_45_28_48_31_97_43_11_75_13_93,7,0.09608364658246801,327.38132156297974,69,36,26,97,100,68,62,20,67,79,53,92,16,32,39,2,27,89,75,34,68,48,71,68,73,99,88,84,55,34,45,28,48,31,97,43,11,75,13,93
genes_69_98_72_32_83_4_80_58_89_55_14_27_16_100_96_32_96_6_76_37_28_57_29_11_87_69_20_11_100_55_98_36_47_63_0_28_15_17_100_55,6,0.09084631367681993,333.6179540579717,69,98,72,32,83,4,80,58,89,55,14,27,16,100,96,32,96,6,76,37,28,57,29,11,87,69,20,11,100,55,98,36,47,63,0,28,15,17,100,55
genes_25_37_26_66_79_27_81_48_33_42_76_24_11_23_15_34_6_83_98_32_93_14_91_10_81_66_99_5_98_28_72_72_51_52_66_27_98_12_61_43,3,0.10593762925548317,334.858636238796,25,37,26,66,79,27,81,48,33,42,76,24,11,23,15,34,6,83,98,32,93,14,91,10,81,66,99,5,98,28,72,72,51,52,66,27,98,12,61,43
genes_50_99_69_81_32_11_90_22_93_85_62_54_12_15_84_35_99_85_69_42_68_21_83_80_36_74_64_31_30_89_70_65_59_22_6_50_47_77_97_98,6,0.09351917731103099,339.91458663261807,50,99,69,81,32,11,90,22,93,85,62,54,12,15,84,35,99,85,69,42,68,21,83,80,36,74,64,31,30,89,70,65,59,22,6,50,47,77,97,98
genes_49_31_85_32_84_68_25_10_89_83_88_61_4_84_41_22_65_85_57_37_14_59_85_70_24_100_62_19_100_88_87_80_13_63_0_66_11_17_100_15,4,0.09120868763572004,342.3754870012921,49,31,85,32,84,68,25,10,89,83,88,61,4,84,41,22,65,85,57,37,14,59,85,70,24,100,62,19,100,88,87,80,13,63,0,66,11,17,100,15
genes_86_39_7_56_95_55_68_62_94_40_51_59_0_64_29_84_23_96_54_18_36_6_88_81_28_78_7_84_60_35_48_81_85_89_76_62_37_74_40_45,4,0.09372533953175273,343.3502253305103,86,39,7,56,95,55,68,62,94,40,51,59,0,64,29,84,23,96,54,18,36,6,88,81,28,78,7,84,60,35,48,81,85,89,76,62,37,74,40,45
genes_34_29_61_4_94_27_33_56_94_34_76_7_0_23_22_71_96_83_73_29_15_100_77_74_40_71_61_14_98_25_72_72_48_61_69_85_100_77_78_51,5,0.10031900179821633,346.51928735148243,34,29,61,4,94,27,33,56,94,34,76,7,0,23,22,71,96,83,73,29,15,100,77,74,40,71,61,14,98,25,72,72,48,61,69,85,100,77,78,51
genes_56_36_50_32_97_68_38_10_33_100_83_27_0_86_68_20_87_6_20_7_28_58_100_71_29_75_18_1_2_34_43_73_47_66_0_2_87_17_100_93,4,0.09291885334963648,346.7978983747185,56,36,50,32,97,68,38,10,33,100,83,27,0,86,68,20,87,6,20,7,28,58,100,71,29,75,18,1,2,34,43,73,47,66,0,2,87,17,100,93
genes_70_29_26_4_79_27_77_31_33_100_55_24_2_13_39_0_6_11_73_42_68_48_7_74_63_39_99_35_59_47_85_26_99_40_68_27_43_11_25_93,5,0.09364433634841658,348.03882233918796,70,29,26,4,79,27,77,31,33,100,55,24,2,13,39,0,6,11,73,42,68,48,7,74,63,39,99,35,59,47,85,26,99,40,68,27,43,11,25,93
