genes_22_65_19_50_88_53_19_89_6_0_91_22_0_57_19_53_29_97_82_28_52_87_24_50_40_23_23_25_68_93_78_80_65_25_62_8_29_19_63_9,0,0.0,0.0,22,65,19,50,88,53,19,89,6,0,91,22,0,57,19,53,29,97,82,28,52,87,24,50,40,23,23,25,68,93,78,80,65,25,62,8,29,19,63,9
genes_54_22_6_76_86_51_93_100_6_7_100_11_97_20_19_30_41_70_82_14_66_83_25_13_78_30_3_10_0_4_83_77_86_33_49_100_20_32_76_3,4,0.04707154902414304,87.20366597646031,54,22,6,76,86,51,93,100,6,7,100,11,97,20,19,30,41,70,82,14,66,83,25,13,78,30,3,10,0,4,83,77,86,33,49,100,20,32,76,3
genes_98_40_12_44_49_36_54_81_20_5_33_66_86_46_31_32_29_88_63_16_79_82_47_66_93_29_88_27_38_4_80_62_37_41_68_40_19_92_35_65,3,0.05185156717861128,107.9595341298749,98,40,12,44,49,36,54,81,20,5,33,66,86,46,31,32,29,88,63,16,79,82,47,66,93,29,88,27,38,4,80,62,37,41,68,40,19,92,35,65
genes_21_16_29_49_86_36_12_81_85_4_36_33_81_63_28_12_5_89_84_32_31_71_68_14_30_8_94_91_0_53_76_63_64_38_76_12_25_99_82_76,5,0.054027488265061485,124.56548278932152,21,16,29,49,86,36,12,81,85,4,36,33,81,63,28,12,5,89,84,32,31,71,68,14,30,8,94,91,0,53,76,63,64,38,76,12,25,99,82,76
genes_56_70_66_70_81_13_5_83_25_10_87_73_67_6_3_43_9_29_70_3_66_11_43_9_17_97_89_87_33_97_73_76_91_27_61_25_69_48_2_9,3,0.07628262364078713,164.7744295663482,56,70,66,70,81,13,5,83,25,10,87,73,67,6,3,43,9,29,70,3,66,11,43,9,17,97,89,87,33,97,73,76,91,27,61,25,69,48,2,9
genes_21_87_19_49_100_33_54_75_12_90_40_58_68_46_30_77_55_26_63_36_66_82_19_9_85_6_13_92_83_1_12_62_64_92_59_100_50_96_35_24,5,0.06539509374265548,165.54454803175975,21,87,19,49,100,33,54,75,12,90,40,58,68,46,30,77,55,26,63,36,66,82,19,9,85,6,13,92,83,1,12,62,64,92,59,100,50,96,35,24
genes_79_1_51_71_44_83_89_83_90_20_35_18_56_59_49_66_48_65_25_12_77_80_26_5_41_57_86_92_74_53_81_74_87_100_81_20_80_39_15_20,7,0.07165027973807594,181.07656153237582,79,1,51,71,44,83,89,83,90,20,35,18,56,59,49,66,48,65,25,12,77,80,26,5,41,57,86,92,74,53,81,74,87,100,81,20,80,39,15,20
genes_60_89_31_53_80_28_8_81_10_5_69_0_46_59_22_56_29_64_74_0_72_27_46_98_15_6_90_48_33_37_81_86_39_33_49_45_94_65_33_8,10,0.07998603302596038,208.64702492890507,60,89,31,53,80,28,8,81,10,5,69,0,46,59,22,56,29,64,74,0,72,27,46,98,15,6,90,48,33,37,81,86,39,33,49,45,94,65,33,8
genes_27_43_19_49_86_23_19_86_82_90_91_18_0_46_32_36_32_67_72_0_57_87_35_41_41_6_23_92_74_10_77_64_12_25_39_8_24_39_32_9,2,0.06388056982294231,225.70865989149928,27,43,19,49,86,23,19,86,82,90,91,18,0,46,32,36,32,67,72,0,57,87,35,41,41,6,23,92,74,10,77,64,12,25,39,8,24,39,32,9
genes_64_39_73_49_3_56_89_90_25_6_36_33_1_63_19_12_10_64_6_27_57_27_39_57_86_9_23_57_87_7_71_79_68_57_54_49_47_38_36_76,6,0.06878706650252507,230.92351654116143,64,39,73,49,3,56,89,90,25,6,36,33,1,63,19,12,10,64,6,27,57,27,39,57,86,9,23,57,87,7,71,79,68,57,54,49,47,38,36,76
genes_19_40_75_9_60_93_89_10_94_7_94_9_36_62_25_75_60_3_14_0_63_11_19_37_10_1_19_2_98_12_12_5_43_41_73_31_77_18_72_3,3,0.08339916420647042,232.02222372842115,19,40,75,9,60,93,89,10,94,7,94,9,36,62,25,75,60,3,14,0,63,11,19,37,10,1,19,2,98,12,12,5,43,41,73,31,77,18,72,3
