genes_89_72_59_61_19_24_54_50_92_89_86_18_10_27_12_44_31_5_10_31_76_3_19_8_58_93_51_61_39_2_100_22_87_45_80_30_54_85_61_85,1,0.036055586065582984,80.05570251113784,89,72,59,61,19,24,54,50,92,89,86,18,10,27,12,44,31,5,10,31,76,3,19,8,58,93,51,61,39,2,100,22,87,45,80,30,54,85,61,85
genes_73_92_38_81_77_31_56_48_72_38_96_71_6_0_69_94_31_40_18_33_99_61_29_93_97_92_80_37_42_96_42_25_5_14_10_76_63_91_32_66,7,0.04012569558856062,81.06926940057203,73,92,38,81,77,31,56,48,72,38,96,71,6,0,69,94,31,40,18,33,99,61,29,93,97,92,80,37,42,96,42,25,5,14,10,76,63,91,32,66
genes_26_56_54_59_67_89_42_49_55_62_0_95_79_90_29_99_5_29_5_18_100_73_9_61_51_71_58_41_35_9_56_89_24_91_53_24_41_4_72_66,5,0.042246130534780546,84.51670475192239,26,56,54,59,67,89,42,49,55,62,0,95,79,90,29,99,5,29,5,18,100,73,9,61,51,71,58,41,35,9,56,89,24,91,53,24,41,4,72,66
genes_60_54_58_37_92_29_94_79_84_57_22_47_73_16_18_33_79_40_21_23_81_61_9_60_93_69_1_34_32_45_51_31_20_45_11_11_41_85_80_91,9,0.05154667386516647,122.37329164984229,60,54,58,37,92,29,94,79,84,57,22,47,73,16,18,33,79,40,21,23,81,61,9,60,93,69,1,34,32,45,51,31,20,45,11,11,41,85,80,91
genes_83_58_82_59_67_33_42_30_93_76_26_14_71_65_21_96_47_22_14_7_100_64_67_30_62_53_14_74_29_57_45_41_19_88_11_11_16_74_70_75,7,0.05452712482176692,129.08697020064182,83,58,82,59,67,33,42,30,93,76,26,14,71,65,21,96,47,22,14,7,100,64,67,30,62,53,14,74,29,57,45,41,19,88,11,11,16,74,70,75
genes_29_52_37_29_97_25_61_75_90_69_4_43_65_26_17_10_28_42_26_33_69_68_31_96_70_42_75_63_45_41_88_56_37_74_49_71_19_5_85_48,5,0.06634672476896777,166.80475390558294,29,52,37,29,97,25,61,75,90,69,4,43,65,26,17,10,28,42,26,33,69,68,31,96,70,42,75,63,45,41,88,56,37,74,49,71,19,5,85,48
genes_28_46_44_38_95_54_87_85_56_77_42_6_10_26_21_57_56_91_41_33_76_13_30_60_58_89_11_89_75_28_50_38_20_53_11_65_11_16_79_66,3,0.0682496801289032,224.64268091771837,28,46,44,38,95,54,87,85,56,77,42,6,10,26,21,57,56,91,41,33,76,13,30,60,58,89,11,89,75,28,50,38,20,53,11,65,11,16,79,66
genes_38_52_81_59_100_20_23_77_34_71_16_37_6_28_32_93_54_14_7_41_76_5_29_98_50_93_10_35_70_7_43_33_13_15_11_23_63_58_35_70,2,0.07078980668416883,234.71755973945193,38,52,81,59,100,20,23,77,34,71,16,37,6,28,32,93,54,14,7,41,76,5,29,98,50,93,10,35,70,7,43,33,13,15,11,23,63,58,35,70
genes_79_39_40_0_77_23_56_48_85_95_98_36_5_69_69_87_27_3_74_34_100_61_12_70_60_66_85_37_42_53_42_38_19_16_53_68_17_91_32_71,6,0.06997564110764533,234.79897866738563,79,39,40,0,77,23,56,48,85,95,98,36,5,69,69,87,27,3,74,34,100,61,12,70,60,66,85,37,42,53,42,38,19,16,53,68,17,91,32,71
genes_44_92_72_7_91_88_52_31_14_83_15_18_22_23_21_94_5_5_29_31_16_9_90_71_99_75_57_37_26_9_43_56_17_40_23_91_19_74_67_33,4,0.08271820941603159,264.22190332225387,44,92,72,7,91,88,52,31,14,83,15,18,22,23,21,94,5,5,29,31,16,9,90,71,99,75,57,37,26,9,43,56,17,40,23,91,19,74,67,33
genes_49_57_87_57_95_33_55_78_53_60_28_48_15_63_84_26_37_44_77_25_3_69_34_70_36_88_58_41_29_41_43_45_78_43_11_36_76_80_35_63,9,0.08234401732641035,273.1064696538154,49,57,87,57,95,33,55,78,53,60,28,48,15,63,84,26,37,44,77,25,3,69,34,70,36,88,58,41,29,41,43,45,78,43,11,36,76,80,35,63
genes_91_52_55_15_10_89_62_32_31_60_86_58_4_69_19_91_47_0_68_39_80_83_29_95_98_93_58_67_96_47_100_12_58_91_48_37_54_40_73_85,6,0.07915908515474988,273.2297594968458,91,52,55,15,10,89,62,32,31,60,86,58,4,69,19,91,47,0,68,39,80,83,29,95,98,93,58,67,96,47,100,12,58,91,48,37,54,40,73,85
genes_42_55_55_15_95_33_41_12_31_60_28_87_6_63_72_0_24_92_77_25_64_79_34_96_50_85_58_41_29_48_43_34_92_94_11_35_72_84_32_73,6,0.08128774438864447,277.67467908547815,42,55,55,15,95,33,41,12,31,60,28,87,6,63,72,0,24,92,77,25,64,79,34,96,50,85,58,41,29,48,43,34,92,94,11,35,72,84,32,73
genes_11_88_40_59_83_2_23_77_93_88_84_65_27_28_16_99_58_5_10_34_100_13_18_68_38_16_62_40_45_42_45_39_25_76_50_23_63_46_91_76,4,0.08715302585857347,279.32654246601015,11,88,40,59,83,2,23,77,93,88,84,65,27,28,16,99,58,5,10,34,100,13,18,68,38,16,62,40,45,42,45,39,25,76,50,23,63,46,91,76
genes_97_51_61_6_100_19_21_73_19_71_16_62_6_90_30_91_16_12_19_7_71_18_9_99_96_90_14_40_40_28_99_91_93_15_11_54_58_3_26_89,2,0.07734609266368797,285.5793521027458,97,51,61,6,100,19,21,73,19,71,16,62,6,90,30,91,16,12,19,7,71,18,9,99,96,90,14,40,40,28,99,91,93,15,11,54,58,3,26,89
genes_83_54_54_60_27_20_71_49_82_17_2_19_0_74_15_96_21_2_18_23_76_7_67_63_57_62_78_75_98_40_100_83_20_91_11_5_7_40_89_45,4,0.08871334509257277,286.2072926293197,83,54,54,60,27,20,71,49,82,17,2,19,0,74,15,96,21,2,18,23,76,7,67,63,57,62,78,75,98,40,100,83,20,91,11,5,7,40,89,45
genes_27_100_38_15_95_25_89_83_94_73_4_40_2_98_25_2_20_55_29_27_93_72_40_100_58_41_3_5_7_49_47_38_89_82_64_34_79_80_13_71,6,0.08622200551245242,302.79804348807403,27,100,38,15,95,25,89,83,94,73,4,40,2,98,25,2,20,55,29,27,93,72,40,100,58,41,3,5,7,49,47,38,89,82,64,34,79,80,13,71
genes_0_97_55_28_100_51_93_23_33_21_28_43_3_66_4_75_14_100_38_47_76_17_28_95_62_24_50_76_29_35_39_35_54_14_10_36_45_84_89_66,4,0.09516679942791521,303.02675073437183,0,97,55,28,100,51,93,23,33,21,28,43,3,66,4,75,14,100,38,47,76,17,28,95,62,24,50,76,29,35,39,35,54,14,10,36,45,84,89,66
genes_28_46_93_38_32_45_61_79_24_78_42_63_4_71_18_77_0_50_19_25_93_13_9_60_58_17_1_89_69_28_45_38_20_53_11_27_22_88_60_96,4,0.09237481422510802,304.68502114010755,28,46,93,38,32,45,61,79,24,78,42,63,4,71,18,77,0,50,19,25,93,13,9,60,58,17,1,89,69,28,45,38,20,53,11,27,22,88,60,96
