genes_7_81_88_45_52_82_41_62_28_37_62_10_42_16_24_31_67_83_52_60_6_58_19_52_11_38_1_44_46_74_41_3_55_21_2_91_92_10_23_0,4,0.0678905706290266,41.18335142043936,7,81,88,45,52,82,41,62,28,37,62,10,42,16,24,31,67,83,52,60,6,58,19,52,11,38,1,44,46,74,41,3,55,21,2,91,92,10,23,0
genes_25_57_35_96_91_49_13_28_34_82_25_56_40_79_9_31_48_97_15_100_0_0_71_99_96_43_11_74_32_98_89_100_18_18_93_67_64_82_16_40,4,0.08079657987946244,56.12990693790504,25,57,35,96,91,49,13,28,34,82,25,56,40,79,9,31,48,97,15,100,0,0,71,99,96,43,11,74,32,98,89,100,18,18,93,67,64,82,16,40
genes_31_61_100_48_41_92_30_92_100_14_11_5_40_94_75_67_82_100_95_67_70_1_80_60_70_20_5_91_37_2_6_86_79_22_2_13_67_5_21_10,2,0.051231429735384894,58.0640080494934,31,61,100,48,41,92,30,92,100,14,11,5,40,94,75,67,82,100,95,67,70,1,80,60,70,20,5,91,37,2,6,86,79,22,2,13,67,5,21,10
genes_20_57_89_20_20_11_46_28_23_37_61_19_92_74_80_7_97_51_80_59_97_0_73_49_66_55_12_96_81_74_52_31_30_18_2_70_19_73_9_99,3,0.06013682235999309,61.45469409057116,20,57,89,20,20,11,46,28,23,37,61,19,92,74,80,7,97,51,80,59,97,0,73,49,66,55,12,96,81,74,52,31,30,18,2,70,19,73,9,99
genes_61_50_60_6_52_13_42_36_91_43_28_50_78_62_12_67_1_66_72_91_51_83_56_34_99_19_61_17_13_100_52_48_23_100_98_48_74_66_21_52,4,0.060769545875418295,77.08719390278986,61,50,60,6,52,13,42,36,91,43,28,50,78,62,12,67,1,66,72,91,51,83,56,34,99,19,61,17,13,100,52,48,23,100,98,48,74,66,21,52
genes_12_6_43_71_66_79_23_2_65_52_51_51_76_14_100_7_48_83_53_14_16_35_8_72_67_41_41_44_0_28_26_96_83_58_88_30_97_10_55_18,2,0.07857032836108083,78.9709404344496,12,6,43,71,66,79,23,2,65,52,51,51,76,14,100,7,48,83,53,14,16,35,8,72,67,41,41,44,0,28,26,96,83,58,88,30,97,10,55,18
genes_42_99_17_94_71_11_21_28_70_37_65_83_94_79_24_56_69_0_95_59_53_98_92_50_66_55_52_18_36_74_78_57_81_81_58_40_18_73_80_10,7,0.0648550686158142,83.5192749856416,42,99,17,94,71,11,21,28,70,37,65,83,94,79,24,56,69,0,95,59,53,98,92,50,66,55,52,18,36,74,78,57,81,81,58,40,18,73,80,10
genes_35_99_53_2_52_0_67_53_34_23_42_82_33_71_69_89_66_20_29_37_23_51_8_72_11_99_26_77_0_14_8_38_79_26_80_86_17_75_71_14,5,0.07892054898491514,93.26461671609673,35,99,53,2,52,0,67,53,34,23,42,82,33,71,69,89,66,20,29,37,23,51,8,72,11,99,26,77,0,14,8,38,79,26,80,86,17,75,71,14
genes_90_56_83_86_95_92_3_61_12_77_11_19_54_75_7_45_19_71_71_40_92_16_79_39_16_8_30_59_91_96_35_100_98_93_57_60_15_19_26_92,4,0.06997075088239231,96.58670422939437,90,56,83,86,95,92,3,61,12,77,11,19,54,75,7,45,19,71,71,40,92,16,79,39,16,8,30,59,91,96,35,100,98,93,57,60,15,19,26,92
genes_90_39_100_12_90_70_19_45_67_36_90_77_33_23_61_53_69_71_71_92_25_17_16_90_20_95_30_61_42_100_39_17_59_52_55_88_64_48_26_92,6,0.07387821483221395,97.42684359370719,90,39,100,12,90,70,19,45,67,36,90,77,33,23,61,53,69,71,71,92,25,17,16,90,20,95,30,61,42,100,39,17,59,52,55,88,64,48,26,92
