genes_40_20_75_20_64_73_43_18_25_38_13_11_49_1_66_9_36_65_21_33_76_29_7_56_15_68_83_13_79_63_37_89_73_21_100_3_23_63_5_84,2,0.03196546021229847,20.758480498259228,40,20,75,20,64,73,43,18,25,38,13,11,49,1,66,9,36,65,21,33,76,29,7,56,15,68,83,13,79,63,37,89,73,21,100,3,23,63,5,84
genes_24_93_14_22_5_70_19_79_6_17_87_21_19_42_42_50_38_24_35_86_37_7_69_56_68_100_77_48_31_23_0_42_12_16_82_98_15_12_17_88,3,0.056283623882062754,48.58980664441236,24,93,14,22,5,70,19,79,6,17,87,21,19,42,42,50,38,24,35,86,37,7,69,56,68,100,77,48,31,23,0,42,12,16,82,98,15,12,17,88
genes_18_93_52_66_2_9_46_47_6_50_10_21_34_1_93_50_50_97_35_53_37_7_50_69_83_100_93_48_58_23_83_7_51_77_99_70_7_17_41_21,2,0.052973032060739375,54.089036082431655,18,93,52,66,2,9,46,47,6,50,10,21,34,1,93,50,50,97,35,53,37,7,50,69,83,100,93,48,58,23,83,7,51,77,99,70,7,17,41,21
genes_85_87_41_99_51_94_58_26_18_43_38_38_70_48_0_46_42_99_52_67_39_64_53_3_84_25_100_0_23_20_35_14_92_38_43_24_39_79_75_4,4,0.07577417036367538,61.216060340309916,85,87,41,99,51,94,58,26,18,43,38,38,70,48,0,46,42,99,52,67,39,64,53,3,84,25,100,0,23,20,35,14,92,38,43,24,39,79,75,4
genes_5_72_80_4_5_35_46_51_50_100_53_11_91_58_42_100_27_21_78_1_44_16_7_32_75_67_9_15_43_53_56_95_18_76_84_16_72_18_10_20,3,0.05882976238696753,69.07572731463866,5,72,80,4,5,35,46,51,50,100,53,11,91,58,42,100,27,21,78,1,44,16,7,32,75,67,9,15,43,53,56,95,18,76,84,16,72,18,10,20
genes_46_72_18_67_3_54_27_41_58_97_35_16_12_5_49_95_38_18_100_19_85_80_69_56_59_69_70_19_44_18_23_42_56_16_99_100_46_19_17_82,3,0.06372769118839101,71.96183397121075,46,72,18,67,3,54,27,41,58,97,35,16,12,5,49,95,38,18,100,19,85,80,69,56,59,69,70,19,44,18,23,42,56,16,99,100,46,19,17,82
genes_84_19_72_50_0_56_16_60_18_79_38_10_70_48_46_68_9_99_93_89_38_97_43_48_93_19_100_40_79_74_95_3_89_27_43_88_54_98_76_28,5,0.09723572006028457,76.60716977057754,84,19,72,50,0,56,16,60,18,79,38,10,70,48,46,68,9,99,93,89,38,97,43,48,93,19,100,40,79,74,95,3,89,27,43,88,54,98,76,28
genes_48_79_23_43_59_94_28_26_31_92_18_18_70_54_9_37_42_40_52_41_39_81_70_61_84_54_37_11_68_20_22_90_96_35_37_48_66_82_100_82,4,0.07271855522178933,77.6163029624538,48,79,23,43,59,94,28,26,31,92,18,18,70,54,9,37,42,40,52,41,39,81,70,61,84,54,37,11,68,20,22,90,96,35,37,48,66,82,100,82
genes_85_87_25_32_25_3_59_70_87_68_98_88_34_93_39_46_13_46_93_2_7_64_60_36_84_63_78_24_8_53_74_90_100_35_42_46_39_74_25_82,5,0.07033939343762874,80.4606196121794,85,87,25,32,25,3,59,70,87,68,98,88,34,93,39,46,13,46,93,2,7,64,60,36,84,63,78,24,8,53,74,90,100,35,42,46,39,74,25,82
genes_16_90_91_53_66_80_67_20_61_40_8_78_78_62_89_9_92_15_36_53_15_7_86_69_58_4_6_81_82_58_15_32_0_7_62_95_4_95_46_19,4,0.07143419610236974,80.96744051809772,16,90,91,53,66,80,67,20,61,40,8,78,78,62,89,9,92,15,36,53,15,7,86,69,58,4,6,81,82,58,15,32,0,7,62,95,4,95,46,19
genes_67_16_52_99_99_14_97_8_57_49_51_12_88_0_66_12_13_65_39_7_22_97_51_89_58_52_91_87_12_39_72_2_68_79_89_51_4_27_60_15,3,0.07042861718331994,82.87366251383382,67,16,52,99,99,14,97,8,57,49,51,12,88,0,66,12,13,65,39,7,22,97,51,89,58,52,91,87,12,39,72,2,68,79,89,51,4,27,60,15
genes_0_68_38_80_2_70_51_61_76_67_95_61_32_42_46_78_81_55_0_4_86_73_53_25_37_36_40_51_1_23_53_63_28_88_51_65_9_19_31_90,5,0.06716992076728782,84.37267785986373,0,68,38,80,2,70,51,61,76,67,95,61,32,42,46,78,81,55,0,4,86,73,53,25,37,36,40,51,1,23,53,63,28,88,51,65,9,19,31,90
